created_at,favorite_count,full_text,hashtags,retweet_count,urls,user,label
2020-02-27 14:35:15,8,"@MayorofLondon The #silvertowntunnel ""...would have serious consequences for climate change air quality and noise pollution... I will never stop fighting for a greener cleaner London."" You'll be cancelling the tunnel then?",silvertowntunnel,3,,PhilipMarson,negative
2020-02-27 14:35:16,25,"""Data on the body condition of female bears and survival of cubs in Western Hudson Bay have not been published in over 25 years despite claims that these are key measures of the impact of climate change on bears"" https://t.co/wJUR3CB0H7",,17,https://twitter.com/ccdeditor/status/1233023407417106433,tan123,negative
2020-02-27 14:35:18,0,@realDonaldTrump @CNN @CDCgov You are an climate change denier a “windmill cancer” believer a user of penis-enlargement pills a fool who lives on a “McDonald’s diet” the idiot who cut the CDC budget and eliminated scores of scientific advisory boards etc. Your our of your element Donny. https://t.co/S9al0pRTDV,,0,,caffertylaw,negative
2020-02-27 14:35:18,1,This was apparently before he said climate change was causing all the volcano explosions https://t.co/6b08CxWJuw,,0,https://twitter.com/lukebroadwater/status/1232759376970121216,nvasconcelos,positive
2020-02-27 14:35:21,1,Because as we all know climate change with its predicted proliferation of new infectious diseases is FAKE NEWS! https://t.co/39HdNnl2bA,,1,https://twitter.com/ABCPolitics/status/1233036595151953921,SusieMadrak,positive
2020-02-27 14:35:24,0,@drdavidmichaels This is the problem with the deification of Thunberg. Thunberg is not at expert  but a kid. She symbolizes the feels people have about climate change but then the other side just finds other emotional arguments and a kid who embodies them. Good policy must be based on evidence,,0,,aaronmsaunders,positive
2020-02-27 14:35:24,0,Swimmer withstands Antarctic waters to raise awareness of climate change https://t.co/n8MSh5pvvC,,0,https://www.kirkscubagear.com/blog/swimmer-withstands-antarctic-waters-to-raise-awareness-of-climate-change/,diverdowndeep,negative
2020-02-27 14:35:32,0,Greta Thunberg fury: Panic as fears grow children could be crushed at activist's UK speech https://t.co/kVKV30aBf1,,0,http://dlvr.it/RQs4Yf,BritainBreaking,negative
2020-02-27 14:35:33,1,@joshua_kohel @StarTribune She definitely lacks a draw BUT don’t let the media fool you and portray her as a moderate. She is just as “progressive” as any of the goofs on stage. Abortion. Open borders. Climate Change. Universal healthcare. She ticks all progressivism checkboxes. The “aw shucks” is a game,,0,,BrentAnderson99,negative
2020-02-27 14:35:35,1,Skylarks test their climate change knowledge with a cbbc quiz. https://t.co/3nAWcHcDF9,,0,,CuddingtonPri,negative
2020-02-27 14:35:36,4,@Real_DanMad @Deez202Nutz @DanRather This is beyond ignorant. So you’re attitude is not “we shouldn’t fight climate change cause it’s not real.” Your attitude is “we shouldn’t fight climate change cause it’s futile and it will cost too much.” Fantastic assessment! Sometimes I can’t believe the shit I read on here.,,0,,pluch1016,negative
2020-02-27 14:35:37,0,The Internet of Wild Things: Technology and the battle against biodiversity loss and climate change https://t.co/3CitAazqt9,,0,https://www.techrepublic.com/article/the-internet-of-wild-things-technology-and-the-battle-against-biodiversity-loss-and-climate-change/,toptechticker,negative
2020-02-27 14:35:37,0,@RicoAlessandro Leggo quanto e su cosa mi pare incluso climate change e rispetto donne argomenti che non vi sono congeniali visto il track record dei vostri modelli di riferimento Trump+Salvini. Faresti bene a leggerne anche tu. E do del tu a tutti senza guardare ad anacronismi di facciata.,,0,,Finto_Cubano,negative
2020-02-27 14:35:38,0,@Ph65PauloDingle @piersmorgan That’s not how climate change works at all....,,0,,NYY15481204,negative
2020-02-27 14:35:39,0,@SallyPresto Well the police hate the left and hate environmental activism more. Imagine being both. People should protest climate change. Look at what happened in australia and now floods in the uk....Only a moron would see these things and not do anything when they can.,,0,,erudito8702,negative
2020-02-27 14:35:45,0,@joelle47019650 Ppl don't understand the Planet Earth climate change is fashion for them!,,0,,kmurthy3992,negative
2020-02-27 14:35:45,0,@joelle47019650 Ppl don't understand the Planet Earth climate change is fashion for them!,,0,,kmurthy3992,negative
2020-02-27 14:35:48,10,Another trip in the work EV to talk climate change with officers and councillors at Staffs Moorlands District Council https://t.co/UYfCyfMu3Y,,0,,zprobinson1,negative
2020-02-27 14:35:51,0,@99freemind Climate change is your fault climate change is your fault Join us join us join us https://t.co/CsYyZPdOCv,,0,,timi2bks,negative
2020-02-27 14:36:05,0,"Hi there!  We need your help to end our Kickstarter campaign! We just need a little push ;)  ""Climate Killer"" is a musical horror comedy about climate change...and more. Check the page if you dig the idea! Thanks!  LINK: https://t.co/ORahVW4CyI https://t.co/MtEMHVBMz9",,0,http://kck.st/2UkEbiG,annaclimatekill,negative
2020-02-27 14:36:07,0,@RessyM There are so many people that want to make their claim that fighting climate change is so important yet they want to maintain the current status quo in Toronto because they can't handle such change to the economy as many higher class will be affected by these changes too.,,0,,spikestabber,negative
2020-02-27 14:36:08,1,This is important under-standing to make &amp; SERIOUSLY TAKE INTO ACCOUNT- it calls attention at the increasing number of gimmicks to pretend that real work on climate change is being done! pls let us mature and b serious #TheHouseIsOnFire NoTimeToPretend @GenderCC @OtherNews5 @undp https://t.co/tmeIUQoTGx,TheHouseIsOnFire,0,https://twitter.com/climatehuman/status/1232955085711298560,benavides_marta,negative
2020-02-27 14:36:10,6,@BernieSanders Australia had arsonists setting fires across the country side. These people were all climate change activists! You people are nuts!,,0,,TrailBum2,negative
2020-02-27 14:36:11,0,At this point I almost almost want Bernie to win use the broken norms to implement his full scale plans for M4A climate change etc to watch the trumplicans freak cause they voted for him in our primaries.  Almost..  #NoOpenPrimaries,NoOpenPrimaries,0,,DisgustedOkie,negative
2020-02-27 14:36:11,29,“We have zero chance of avoiding the worst impacts of climate change if we do not rapidly phase out oil gas and coal.” https://t.co/ZXcbqWzysI,,13,https://www.washingtonpost.com/opinions/dont-let-oil-companies-design-climate-policy-say-yes-to-renewables/2020/02/26/69ca66ba-5825-11ea-8efd-0f904bdd8057_story.html,rogertansey,negative
2020-02-27 14:36:12,1,It will be better for climate science.  We must improve our links with respectful climate change actions innovative' greener' initiatives and greener' home investment. https://t.co/LHakHcuBQu,,1,https://twitter.com/Andrew_Adonis/status/1232978314559729665,Iddonpaula1,negative
2020-02-27 14:36:20,3,@AOC Not believing in the climate change agenda does not make him a nonbeliever in science.,,0,,jrb1972,negative
2020-02-27 14:36:29,22,@jbf1755 And the rivers will flow red   LOL   It's the hand of climate change not the hand of some invisible pie in the sky mythology.   Overpopulation = unsanitary conditions = disease Global warming = imbalance = trophic cascades/locusts Stupid politicians = lack of effective action,,1,,AltYelloNatPark,negative
2020-02-27 14:36:30,1,@RachelVanD @Fahrenthold @pw_cunningham @DHSgov @paulina_milla But have no fear he has appointed the god-botherer who thinks smoking doesn't kill and climate change isn't real to save the day!,,1,,jeremyjsharp,negative
2020-02-27 14:36:30,0,"@willgoodbin @youfoundjade_ @OwentheTyley @StuartBCapstick @ExtinctionR @XRebellionUK @FlightFree2020 That's probably about right. Many believe in climate change but aren't convinced by the specific predictions ""we only have 10 years"" since the specific predictions have been wrong again and again.",,0,,Harshbutfairy,negative
2020-02-27 14:36:34,0,So what we may see after With this unsolvable climate change problems! https://t.co/rYIkP7dmHR,,0,https://twitter.com/Reuters/status/1233032782286290945,aturk_a,negative
2020-02-27 14:36:36,3,Although extremely serious climate change isn't the biggest threat that we're facing.  Politicians who can lie with impunity while irresponsibly using social media are grotesquely worse by at least a factor of 10.,,3,,patrickj6,negative
2020-02-27 14:36:38,0,the ice is melting…it's about time…the polar bears need to be protected…stop the climate change #PolarBearDay 💙 https://t.co/zpQuqhp7Sy,PolarBearDay,0,,patricia_shenan,negative
2020-02-27 14:36:40,0,Climate change could lead to global catastrophe new report warns https://t.co/9NuUjSYLq5 via @Yahoo,,0,https://news.yahoo.com/climate-change-could-lead-to-global-catastrophe-new-report-warns-143247714.html?soc_src=hl-viewer&soc_trk=tw,JoeBarracato,negative
2020-02-27 14:36:41,1,Huge opportunity for interested students and developers to work on solutions to help address climate change. Join the call for code. https://t.co/Ss7SW5DEjx,,0,https://twitter.com/BillClinton/status/1232815596628316161,CarrieBendzsa,negative
2020-02-27 14:36:41,1,"TOTAL LIAR/DISHONEST FRAUDDEMON-CRAP""MINI-MIKE"" SAYS CLIMATE-CHANGE IS ""REAL"" HEALTH-CARE FOR ALL ILLEGAL STOP ALL PRIVATE INSUR. CO'S!  IN ""NEW"" AD BLOOMBERG CLAIMS HE LED NEW YORK THROUGH 9/11!! ANOTHER ""ELITE"" CHRISTIAN-HATING DEM! https://t.co/G6jgERGRdB via @gatewaypundit",,1,https://www.thegatewaypundit.com/2020/02/this-takes-the-cake-in-new-ad-mike-bloomberg-claims-he-led-new-york-city-through-9-11-video/,Tex_Ghost,positive
2020-02-27 14:36:47,7,Heathrow third runway ruled illegal over climate change https://t.co/uBzbcZebKI,,2,https://www.theguardian.com/environment/2020/feb/27/heathrow-third-runway-ruled-illegal-over-climate-change?CMP=share_btn_tw,ewaldeng,negative
2020-02-27 14:36:53,1,@stillawake The reason you are taking her is because you are gullible naive and show you don't understand about supposed climate change! Children now realise they can bunk off school and miss their education you are breaking the law and teaching her she can!,,0,,NigeWhite,negative
2020-02-27 14:36:55,1,10 common myths about climate change — and what science really says https://t.co/68fB9uaIxY,,0,https://flip.it/Zef..z,I_care_movement,negative
2020-02-27 14:36:58,0,"But you believe in the science of ""climate change"" and mixology??? https://t.co/jJ5jCo1rnq",,0,https://twitter.com/AOC/status/1232841137930559490,johneng64,positive
2020-02-27 14:36:59,0,Bener-bener takut kalo umur bumi ga lama lagi......😞.  Ada Climate change Deadly Biological Viruses Outbreak (Corona etc) Religion Issues WW3 Agenda ya banyak lah dan kompleks banget permasalahannya. https://t.co/92Qxhg1Vob,,0,https://twitter.com/_SJPeace_/status/1232503777825087488,fajarmnrozaki,negative
2020-02-27 14:37:01,0,@AOC So why should you be in charge of climate change if you're not a scientist? BTW the Earth hasn't gotten any warmer in the past 80 years. 1930s still hold the high mark. So apparently YOU don't believe in science either.,,0,,AerkiJyr,positive
2020-02-27 14:37:03,0,On March 23 Independent MP Zali Steggall will introduce a private member’s bill to Parliament and call for a conscience vote.  Australia needs sensible climate change legislation to transition to the future.  Sign the petition to make your voice heard. … https://t.co/LNSeKV4mZG https://t.co/FssGf5uXlz,,0,https://ift.tt/2vpdBuz,queenboxi,negative
2020-02-27 14:37:05,0,On March 23 Independent MP Zali Steggall will introduce a private member’s bill to Parliament and call for a conscience vote.  Australia needs sensible climate change legislation to transition to the future.  Sign the petition to make your voice heard. … https://t.co/PIY3XIuZuE https://t.co/OScE8VhHUE,,0,https://ift.tt/3cdBBRX,queenboxi,negative
2020-02-27 14:37:06,0,This has nothing to do with climate change and everything to do with indoctrinating our kids with leftist lies and deceit. The way to stop it is for parents who’s schools are getting involved with this garbage to keep their kids at home that day.   No indoctrination no infection. https://t.co/uE8RYY4pAQ,,1,https://twitter.com/sagotree/status/1233025330853617665,Nelphix,positive
2020-02-27 14:37:11,0,@KoenigAdam ... on climate. Bernie can do a lot by himself through Fiat/EO and he can reach across the aisle. The dynamic will change drastically after November. Bernie is a populist and will attract a large turnout. His ideas are doable.,,0,,PartyChihuahua,negative
2020-02-27 14:37:12,1,"The MSM Democrats and all the same ""Deep State"" scumbags still pushing fear porn about a virus where no one has even died in the USA and has less casualties than common flu. Total scam just like man made Climate Change scam.",,0,,1Truth5,positive
2020-02-27 14:37:13,1,Great News!!  Heathrow third runway ruled illegal over climate change  https://t.co/NgYrUeeiMl,,0,https://www.theguardian.com/environment/2020/feb/27/heathrow-third-runway-ruled-illegal-over-climate-change?CMP=Share_iOSApp_Other,BoydeJess,negative
2020-02-27 14:37:13,37,My favourite photo of @LibDems @munirawilson and @sarahjolney1 for a long time. Great campaigning on climate change. https://t.co/bvG1VecFzQ,,10,,mikedixn,negative
2020-02-27 14:37:17,2,"""I urge her [Theresa May] to rule as swiftly as possible in favour of a second runway at Gatwick which would bring substantial economic benefits"" - Sadiq Khan 2016.   If you take soundbite Sadiq at face value climate change clearly didn't exist in 2016. https://t.co/xvH0yZ5aC4",,1,https://twitter.com/SadiqKhan/status/1232971988613898240,SFX24,negative
2020-02-27 14:37:18,14,#ThrowbackThursday to our 'Climate Change for Feminists' workshop with the wonderful @LucycjStone last week🌍 We know that #climatechange is a gender race and class issue too which is why we want to empower our women to feel like they can effect change 💪🏾 https://t.co/D3OiwVoF05,"ThrowbackThursday, climatechange",1,,_YouMakeIt,negative
2020-02-27 14:37:24,0,8. Tiny AI 9. Differential privacy 10. Climate change attribution,,0,,lunamoth,negative
2020-02-27 14:37:25,0,@Setophaga9 @TheDisproof @stevenmosher @KelvinBSP @RlalbrechtTroy @Dcoronata @IntranceIt @AanthanurDC @FriendsOScience @JAGreene18 @EdDarrell @CalifManx @aSinister @serveBC @banurfeels @robhon_ @GlennCarr6 @johnpdees @jwickers @patterson087 @No1Trump @jimdtweet @KenJansen1 @MartinBrampton @automaticsteam @EnzoEdmonton @CheezeWhiz_girl @yepsuzn @TWTThisIsNow @NoExcusesJim @StormSignalSA @RedDragonFly19 @KatyDuke @Over400ppm @ScottDa9999999 @JohnAshtone @jenninemorgan @DawnTJ90 @cowcreekgeek @jgorman2424 @Voight_Kampff_3 @rln_nelson @FNPGeorgeH @Sdarts133 @priscian @caerbannog666 @GaryWHall @JoeNels48803147 @SteveLeigh2019 @spock246 Let me know when you have empirical cause effect evidence for human CO2 playing a major part in climate change.,,0,,fcmfcs2019,positive
2020-02-27 14:37:33,0,Carbon offsets explained in 500 words https://t.co/tmCM9wkEUl https://t.co/qMlDDCwmcU,,0,http://dlvr.it/RQs4vB,Obsessed_W_News,negative
2020-02-27 14:37:33,0,State Debate: Police body cams DNR and climate change political 'bull' today's debate topics https://t.co/TSGiMK2PBh https://t.co/9nEAyvJMSp,,0,http://dlvr.it/RQs4xS,CapTimes,negative
2020-02-27 14:37:36,0,Who ordered this? Fucking climate change. https://t.co/EvNVt3x9v0,,0,,swenvonh,negative
2020-02-27 14:37:37,0,"From ""smoking doesn't kill"" to conversion therapy—Mike Pence's most controversial science remarks https://t.co/TkgV01S5Qa",,0,https://www.newsweek.com/mike-pence-coronavirus-science-hiv-aids-smoking-evolution-climate-change-1489458,Torreshl76,negative
2020-02-27 14:37:39,0,@rcgnrcp @GeraldKutney @jkenney MAN MADE CLIMATE CHANGE;   The made up catastrophe the globalists/socialists use to instil fear and guilt to tax regulate and remove our freedoms while pretending to be saving the planet!,,0,,Tucker94907617,positive
2020-02-27 14:37:44,0,Mike Pence is an existential threat to human survival - climate change denier.  Good luck on coronavirsus. We should be worried. #Pencedemic #pandemic,"Pencedemic, pandemic",0,,just_xhalin,negative
2020-02-27 14:37:45,2,@CTHealthFuture In a Medicare for all system there would still be room for management and payment services so the insurance industry may survive.  But like the fossil fuel companies and climate change insurance companies fight the changes needed to guarantee their long term survival.,,0,,ODouglasPrice,negative
2020-02-27 14:37:47,6,How can we combat #climatechange?  How can we get involved as organisations and individuals?  It's time to:  Speak up 📣 Show up ✋🏽 Act up ♻  Here's our first blog on how we're addressing these as a company   https://t.co/4XG1fAh94U,climatechange,1,https://lght.ly/jb5m3,lightful,negative
2020-02-27 14:37:48,1,This is a big deal. We need our infrastructure to reflect our climate goals. Otherwise those goals are a bunch of hot air https://t.co/IwVLak2Vce,,0,https://www.theguardian.com/environment/2020/feb/27/heathrow-third-runway-ruled-illegal-over-climate-change,inabstract,negative
2020-02-27 14:37:49,23,"""The climate crisis is a result of a combination of climate change and inequality which increasingly drives risks. In fact a lack of opportunities insecurities violence are all a threat to democracy.""  @xapsan Associate Professor University College London  #UCLGMeets https://t.co/kd3tx3h3NE",UCLGMeets,9,,uclg_org,negative
2020-02-27 14:37:49,1,Climate change is real. https://t.co/IRGae7LYhD,,0,https://twitter.com/saywallahifam/status/1232931233459511309,um3awas,negative
2020-02-27 14:37:50,2,"Wonder how Bitcoin will fare in these new Climate Change meets Financial ""endorsement"" waters.  🤔 https://t.co/95SeVCxT21",,0,https://twitter.com/joker_xrp/status/1233031063099801600,cryptohodler16,negative
2020-02-27 14:37:53,1,CNN is trying to blame the Cornovirus for a downturn and “recession”. They’ll blame climate change next time.,,1,,MigiSchmigi,positive
2020-02-27 14:37:54,0,@kenihanas Look up Agenda 21 &amp; Agenda 30. Climate Change and all that jazz are about population control to lead to a NWO. They mask it in “love” &amp; “caring” and you get demonized if you go against it.,,0,,RiccZep,positive
2020-02-27 14:37:58,0,@charliekirk11 Well there are way too many humans on the planet. Which is the re order l cause of the climate change acceleration. Not to mention we can't even take care of all the people already here. Therefore I'm pro abortion.,,0,,Rsalpaugh,negative
2020-02-27 14:37:59,8,@EllDevon @SpotShopMedia Think I’ll go rob a bank but I’ll do in the name of climate change. Anyone got a mask I can borrow?,,1,,lostoutwest01,negative
2020-02-27 14:38:01,2,@s8mb @eamonnbutler What would the courts say about the climate change implications of Boris Island? I hate to think!,,0,,SteveDavies365,negative
2020-02-27 14:38:01,5,"""The availability of gender-disaggregated data gender-sensitive assessments and gender-responsive interventions are essential to enhance health equity by providing more effective mitigation and adaptation policies [for climate change]."" @womeninGH @Data2X   👇👇👇👇👇 https://t.co/pMrssuu4Kd",,0,https://twitter.com/womeninGH/status/1233021727397105664,katesdodson,negative
2020-02-27 14:38:06,37,Fighting climate change is a universal battle that requires putting people first solutions at the forefront for human rights.   Thank you @QUIP_Club for a terrific forum. https://t.co/6vHDJ5IvNK,,5,,Shaniyat2020,negative
2020-02-27 14:38:09,0,@AWF_Official Are you listening to me? Climate change is real!,,0,,oscar_friends,negative
2020-02-27 14:38:09,0,Climate change has now achieved Biblical Event status  Has someone called Noah? Don't forget he only let #animals (&amp; #pollinators?!) onto his ark  Humans have created this problem &amp; we must be part of the solution otherwise the #endangered species list will  include Homo Sapiens https://t.co/GcMbLpbcsu,"animals, pollinators, endangered",0,https://twitter.com/PaulEDawson/status/1233028762574286848,bytownbees,negative
2020-02-27 14:38:12,0,#Coronavirus is earth fighting back against man-made climate change.  #ClimateChange #ClimateEmergency #CoronaVirusUpdates #coronavirususa #CoronavirusOutbreak @SailForScience @UNFCCC @TheCCoalition,"Coronavirus, ClimateChange, ClimateEmergency, CoronaVirusUpdates, coronavirususa, CoronavirusOutbreak",0,,David_Gerbie,negative
2020-02-27 14:38:14,0,Heathrow third runway ruled illegal over climate change. It's the illegal bit that is going to make business and governments wake...   https://t.co/EX9qMsKElg,,0,https://www.theguardian.com/environment/2020/feb/27/heathrow-third-runway-ruled-illegal-over-climate-change?CMP=Share_AndroidApp_Tweet,alexmwjohnson,negative
2020-02-27 14:38:15,16,THIS. IS. BIG. NEWS.   Society is changing.   Mindsets are changing.  Days like these add fuel to the fire in the fight against the climate crisis 🔥🔥🔥  #HeathrowExpansion #NoThirdRunway #2050StartsNow #YoCA2020 #GlobalOptimism   https://t.co/W3hTgW42xc,"HeathrowExpansion, NoThirdRunway, 2050StartsNow, YoCA2020, GlobalOptimism",3,https://www.theguardian.com/environment/2020/feb/27/heathrow-third-runway-ruled-illegal-over-climate-change,k_legzz,negative
2020-02-27 14:38:19,72,Writers in Canada question (please share): Is it hard/impossible for you to travel for events because of cost accessibility family care climate change worries multiple reasons all of the above etc.? Also please let me know if you have a book coming out.,,29,,ClaireElKelly,negative
2020-02-27 14:38:19,7,I get irrational amounts of joy now every time it snows because I hate this climate change business so much because all I can think of is more ticks and algae blooms and the lake still hasn't frozen and probably won't this year.,,0,,KapustaDiamond,negative
2020-02-27 14:38:20,0,@cthulhupotamus @iainball @mccalla_chris @jamesinsurrey @JamesDelingpole Climate change is shrinking the Indian economy. It has already done so and it will get worse. Burning fossil fuels is the single worst way to lift Indians out of poverty https://t.co/lDShZhOLKC,,0,https://economictimes.indiatimes.com/news/environment/global-warming/global-warming-shrank-indian-economy-by-31-per-cent-study/articleshow/69002843.cms?from=mdr,Syzrgy101,negative
2020-02-27 14:38:22,1,We must move away from investments in fossil fuels &amp; support a just transition to a low-carbon economy based on renewable energy &amp; truly green jobs. Today is the last day you can join us in demanding states #DivestFromFossilFuels! https://t.co/l3g52mqJ81,DivestFromFossilFuels,1,https://actionnetwork.org/letters/sign-and-send-the-petition-urge-your-governor-and-state-legislators-to-urge-state-pension-fund-divestment-from-fossil-fuels-we-cannot-continue-to-fund-climate-change?source=2020StatesDivest_WK&referrer=group-waterkeeper-alliance-3,Waterkeeper,negative
2020-02-27 14:38:23,0,@literide @ericridenour @mans_tw @8bitBarbarian @DaveCashInvest @RichardEngel @hmeisler It's certainly beyond your grasp.  The very basics of epidemiology seem very elusive to you judging by your comments here.  You keep going on about data without ever grasping the fundamentals.  Your comments on climate change are further evidence of the your lack of understanding,,0,,kraster,negative
2020-02-27 14:38:23,4,@ChrissyFireWat1 @Atlantiso1 I thought the indoctrination started in college. It is clear that globalist attitudes start in preschool regarding climate change etc.,,1,,SantellaMJ,positive
2020-02-27 14:38:25,1,@far33d Humans have been doing viticulture for ~8K years. it is an exceptionally dialed-in industry compared to much younger ones like tech. Climate change is unprecedented but wine has adapted to a few cataclysms over the millennia. It's pretty fascinating stuff.,,0,,miriamgoldberg,negative
2020-02-27 14:38:30,0,@HillaryClinton @GretaThunberg @Malala Funny how not 1 liberal snowflake can PROVE that Climate change is real &amp; my 100 yr old neighbor says the same thing about it being nothing but bullschiff!! Thanks for the laugh snowflakes I needed that,,0,,kobie3408,positive
2020-02-27 14:38:35,1,We see this over and over and over...media/pols declaring the world is coming to an end in order to get ratings/power.   Face it - that's the whole climate change racket.,,0,,ballabon,positive
2020-02-27 14:38:37,7,"""Pence doesn't believe in climate change"" somehow translates to ""Pence doesn't believe in germ theory"" https://t.co/bNjOizHIOw",,1,https://twitter.com/AOC/status/1232839556443058176,wretched_sinner,negative
2020-02-27 14:38:41,1,I don't care about climate change AND I don't care about Victoria's sewage. So take that Alberta and rest of Canada!  #FuckCanada  #ClimateChangeHoax  #ILoveSewage  #VancouverAlienation #NeglectedCoast https://t.co/73KnnwBI6q,"FuckCanada, ClimateChangeHoax, ILoveSewage, VancouverAlienation, NeglectedCoast",1,https://twitter.com/paulaspeak2/status/1233035280258682881,DiariesPolar,positive
2020-02-27 14:38:44,0,Carney lays out @COP26 rulebook for finance. COP26's private finance strategy would focus on “reporting risk management and return. Ensure that every financial decision takes climate change into account and work with the Financial Stability Board https://t.co/M0xSavaZws https://t.co/8yI8mlzbfc,,0,https://www.responsible-investor.com/articles/carney-lays-out-cop26-rulebook-for-finance-as-he-prepares-to-take-reins-at-un#.XlfTvZWWzXc.twitter,timbales,negative
2020-02-27 14:38:44,2,Skylarks learn about why we need to protect our forests as part of climate change. https://t.co/rbHXTy8XPz,,0,,CuddingtonPri,negative
2020-02-27 14:38:48,0,Grounds for the judgment to be further analysed: Heathrow third runway ruled illegal over climate change https://t.co/jCYKtFEnPS,,0,https://www.theguardian.com/environment/2020/feb/27/heathrow-third-runway-ruled-illegal-over-climate-change?CMP=share_btn_tw,catherinebanet,negative
2020-02-27 14:38:49,10,Climate change: Pressure on big investors to act on environment https://t.co/JRUPF09zOF,,2,https://www.bbc.co.uk/news/science-environment-51657829,rahulmunjal14,negative
2020-02-27 14:38:55,2,I’d definitely erase all social constructs (gender race et el) happiness and peace for all humanity reversing climate change (?) https://t.co/1KC6HmzM7X,,0,https://twitter.com/kruzaa_/status/1232791237842931713,olabodedemilola,negative
2020-02-27 14:39:00,1,Jeff Bezos' climate change philanthropy has quite a few (hidden) strings attached https://t.co/2pywuqUADk,,0,https://www.nbcnews.com/think/opinion/jeff-bezos-climate-change-philanthropy-has-quite-few-hidden-strings-ncna1143791,CATSTEVENS65,negative
2020-02-27 14:39:00,0,A new study finds that emperor penguins are imperiled by #climatechange and if it continues at this rate 80% of emperor penguin colonies are expected to become quasi-extinct by 2100.  https://t.co/kOU6oX25YX via @CC_Yale https://t.co/rfYmqNJRK1,climatechange,4,http://bit.ly/2VvYqds,ClimateSignals,negative
2020-02-27 14:39:01,6,UK’s Heathrow airport expansion ruled unlawful over climate change  By @CookePhoebe for @DeSmogUK   https://t.co/TKRSA9wmPg,,5,https://www.climatechangenews.com/2020/02/27/uks-heathrow-airport-expansion-ruled-unlawful-climate-change/,ClimateHome,negative
2020-02-27 14:39:01,0,If #PlanA is to Mitigate #ClimateChange What’s #PlanB? #Retreat #Resettlement .@AIANational .@AIACALIF   https://t.co/qjnScYfj1H https://t.co/OYojPN33wq,"PlanA, ClimateChange, PlanB, Retreat, Resettlement",2,http://bit.ly/2wLgCWx,CommEdgeCollab,negative
2020-02-27 14:39:03,1,"@tshearer54 @EllieGonsalves I'll happily engage in a debate about climate change but only if you change your handle to ""OK Boomer"" because you're really personifying that ego-driven ignorance and ultimately the sentiment behind the phrase. Hard to tell if you're real trolling or a satirical account 🤷‍♂️",,0,,Enpyar,negative
2020-02-27 14:39:04,1,@Rightwing_Vet So if we don't believe in climate change the same way they do we are anti science? Seems like they are the anti-Science to me. Am I the only one who thinks this?,,0,,UsFortheloveof,positive
2020-02-27 14:39:04,1,@Rightwing_Vet So if we don't believe in climate change the same way they do we are anti science? Seems like they are the anti-Science to me. Am I the only one who thinks this?,,0,,UsFortheloveof,positive
2020-02-27 14:39:09,0,@JillWineBanks I don't know @JillWineBanks what could go wrong? Pence said smoking didn’t cause cancer. He doesn’t believe climate change science. And he questioned whether or not condoms worked. But he's loyal to Trump. What could go wrong?,,0,,kensymes,negative
2020-02-27 14:39:12,1,to future-proof it against climate change taking the total number of seeds in the vault to more than a million. ~ President Akufo-Addo,,1,,SurGyan35,negative
